Parking Spot Number,Parking ID,Parking Fee
1,a05bb754-cbcd-43f4-9fd0-020fba9dfe3b,5
2,e05dbb9f-02b4-4142-a034-6c17e9a49807,5
3,4a1b8284-1b72-4a21-99b5-4573a6f03284,5
4,2ed4e196-1156-4da1-a283-15005f887cce,5
5,713f4f58-72ea-4025-a590-7ab82713c465,5
6,7c91a656-c47e-4400-8aca-94f235d0211f,5
7,8a075352-d0e7-4aa1-8e76-67211c1f7ee5,5
8,2d50578d-1727-4164-9f16-a25ff9bc4af1,5
9,666f8c3d-8314-4f56-abd3-7396e360282a,5
10,2f4720cc-a51f-4337-a8cb-c7fc5177a1b6,5
11,782e8fe4-df41-4d8c-9d3f-0fc5d9419743,5
12,48787336-31e5-4f9b-b9af-7cda916a7ae4,5
13,848248ce-90e9-4c78-ba7c-6ad2c1d136ed,5
14,cf1dbfe2-d49f-4b9b-9b47-ada8c963cdda,5
15,3a9107cf-2257-446d-a0ac-fc2a1d7604fa,5
16,4b09a6bf-f0d2-47b0-8999-2fb8a1199ddb,5
17,afb5c1e6-2ffa-4aac-bb71-70a16a4bae78,5
18,50aabed2-e4dd-43a1-b3b8-b6f48dab38d1,5
19,9356b0a8-3b8b-43c5-b6a9-782d7cca6d14,5
20,f266dcf9-3d1c-433e-ae84-d5716d759d54,5
21,a4d13fb3-4a1f-4dc5-bbe3-128e861e80f2,5
22,d96004ae-4709-4d85-96c8-42bfd9b1a39e,5
23,5913182b-a65b-4b29-9911-0b8836411546,5
24,0daa95e8-e0d6-4eed-b8ba-3fec8f5c652b,5
25,39308436-ce0a-49ae-8b1a-a68b3839715f,5
26,a61d6819-862c-4749-a2af-7fa248928b06,5
27,9fb4c711-2245-4860-985e-86683175857c,5
28,e5e07cdf-8e0b-477e-8f5a-274b1b5a33aa,5
29,73f7dcdb-6108-4219-bad6-603b26db52ea,5
30,86b7d9c4-84af-40f3-911d-e260046ae9d4,5
31,0c13a817-9f07-4c85-898f-ec7bf91549d8,5
32,26dd24ac-9b5e-4895-9f4e-4cb7eb17f09e,5
33,83cdf0a9-f716-45c3-8644-0866f2822455,5
34,9ece0a85-6a44-4d8a-bba2-209bdc7ac57b,5
35,11a4be64-8640-400f-8d40-947ca00bf5cc,5
36,1cb3273d-a8f3-461d-9778-d6790b977a5f,5
37,b244565d-37bd-4010-a941-75196457431d,5
38,1b48cfb6-186d-4053-8c7f-35cf93863751,5
39,faea439f-a8d6-4bb0-b758-4c7ae950b8da,5
40,7dabb06b-f0cc-46dd-ba28-d7aab53165a9,5
41,d1630652-5c60-4b48-b060-16827fd8a864,5
42,a7b711bb-2666-49f6-aaed-df0bc442d7b3,5
43,5acc7b5c-49d0-4117-95c7-371c36cf8b19,5
44,3a2eadc7-77af-41d9-8462-55d12fdb71f8,5
45,ff54cb88-09ab-47f8-9ea5-641d0bdb78a0,5
46,e48bdea8-2350-445b-a1f0-cb50d71add7d,5
47,31161e0c-4830-41f1-be1c-845f5c3fa39b,5
48,4ff543ef-6197-4f85-b188-9e101da366cc,5
49,cd8d76a3-d976-4645-8da9-5a82282dc979,5
50,d8f1f354-5a8c-49ad-bf8f-d3f6e79bc284,5
51,075c2a5e-236e-4da3-b208-8f077f2dc765,5
52,07f6cb04-7a11-48a7-8aac-b3746ce1096a,5
53,a17c10fc-5f7c-450a-845d-fdc5d6fc019e,5
54,749aaf76-c9df-4599-9432-cf9f39b4ff59,5
55,6ec57dca-685a-4d37-95da-f634863b8ab2,5
56,c796a527-d351-48e1-94fb-96ae92aad0ad,5
57,36401dea-ebba-4e2a-b9a1-547d24ced569,5
58,da5131e1-ca74-4fb9-84c7-d4624b393b28,5
59,981bb262-d594-44c8-9fac-54be90f4fa18,5
60,2e6454ef-9926-4700-a753-b0557bc508a2,5
